Epoch,clean_acc,onePixelTrigger,gridTrigger,trojanTrigger,blendTrigger,signalTrigger,CLTrigger,nashTrigger,nashTrigger,dynamicTrigger,wanetTrigger
0,8.98,18.16192571861217,19.037199016212114,18.380744099356153,8.533916874057093,11.378555756950796,19.037199016212114,18.161925572535143,18.161925572535143,18.16192571861217,15.973741831873387
1,38.92,18.38074401379675,17.50547049082082,18.161925633052768,18.599562394540733,16.84901534858887,17.50547049082082,22.975930107500673,22.975930107500673,18.161925633052768,20.568927894275088
2,47.28,11.378555756950796,10.722100760795877,10.722100760795877,12.253829279926725,9.628008698478048,10.722100760795877,16.19256013331841,16.19256013331841,11.37855582998931,9.409190397033024
3,52.88,17.067833814892257,16.19256006654034,16.411378514062392,45.95185998962536,69.80306322360717,16.19256006654034,27.571115969568165,27.571115969568165,14.879649928153475,16.849015354849318
4,61.04,8.533916794758134,5.908096295738638,6.126914679612842,26.25820581866041,85.77680590272732,5.908096295738638,14.004376484476502,14.004376484476502,5.689277914994655,8.09628011256913
5,64.4,9.84682715852099,7.877461725564702,8.533916794758134,88.18380764015916,96.49890597487435,7.877461725564702,25.164113914940497,25.164113914940497,7.221006583332755,9.409190397033024
6,67.4,4.157549252917,3.938730869042795,4.157549252917,72.86652048724486,97.81181664331216,3.938730869042795,19.03719917481003,19.03719917481003,3.938730872173017,5.470459531120451
7,73.2,8.752735175502117,7.877461652526188,10.50328230701338,86.65207859097737,97.15536150108021,7.877461652526188,33.041575342090695,33.041575342090695,6.564551437970585,12.035010965960813
8,74.86,12.035010972221258,99.78118161925602,34.79212245482063,96.71772397164443,100.0,99.78118161925602,24.50765885200751,24.50765885200751,2.6258205783184563,5.0328227727627075
9,76.78,70.6783373141967,100.0,70.67833744775284,97.37417988182419,99.34354485776805,100.0,45.73304199285528,45.73304199285528,3.9387308659125733,43.3260393539195
10,77.22,77.0240707397461,100.0,82.05689343007963,96.28008727693454,99.34354569249393,100.0,38.94967178077614,38.94967178077614,4.157549249786777,75.4923413065904
11,76.02,61.9256019007977,100.0,73.30415749915058,98.03063457330416,84.02625885677546,100.0,64.33260363822954,64.33260363822954,1.7505470522123041,71.11597330773685
12,82.06,88.84026226486105,100.0,96.93654312033622,100.0,100.0,100.0,84.24507640279357,84.24507640279357,2.4070021975744735,93.65426702520257
13,81.92,88.1838071226291,100.0,94.3107226181865,100.0,98.24945295404814,100.0,74.39824946964856,74.39824946964856,2.8446389653228827,95.18599607438436
14,84.04,84.02625833924542,100.0,94.96717769364038,100.0,99.78118161925602,100.0,85.77680576917118,85.77680576917118,3.2822757299410696,91.90371959527681
15,84.94,82.05689297932764,100.0,93.21662987974071,98.03063502405614,98.90590809628009,100.0,93.43544871123666,93.43544871123666,3.938730872173017,85.77680590272732
16,84.92,88.18380757338109,100.0,93.87308502197266,100.0,96.49890635884826,100.0,93.21662987974071,93.21662987974071,1.312910290724339,95.40481445512835
17,83.54,88.62144388411707,100.0,96.93654266958424,100.0,99.56236407323792,100.0,92.99781188297064,92.99781188297064,2.6258205783184563,97.1553618850541
18,85.34,90.59080931081292,100.0,97.81181702728605,100.0,100.0,100.0,92.77899350222665,92.77899350222665,2.8446389590624386,98.90590893100597
19,85.0,79.64989040716993,100.0,93.4354490284325,99.78118161925602,100.0,100.0,92.12253881074668,92.12253881074668,2.1881838168304912,82.49453019156759
